START:  w1
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.0517578125
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.90698242188
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.537109375
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  4.17993164062
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.88891601562
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  4.38598632812
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.13305664062
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.23681640625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.255859375
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.65600585938
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.77587890625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.85424804688
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.35888671875
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.77124023438
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.29296875
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.82495117188
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.89404296875
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.71997070312
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.36279296875
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.28100585938
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.791015625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.27905273438
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  4.2041015625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.0458984375
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.11206054688
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.69409179688
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.36499023438
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.73779296875
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.90600585938
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.66064453125
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.91772460938
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.29931640625
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.94921875
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.62890625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.82495117188
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.90307617188
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.08276367188
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.76098632812
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.9111328125
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.84497070312
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.99487304688
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.57299804688
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.34008789062
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.83032226562
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.49584960938
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.96020507812
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.69775390625
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.77807617188
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.25
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.31518554688
add , b3 , commit :  false , status : 0 , QTime : 3 , None , FileProcessing :  5.47973632812
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.93920898438
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  3.71899414062
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  5.23193359375
add , b3 , commit :  false , status : 0 , QTime : 1 , None , FileProcessing :  4.24487304688
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.32177734375
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.30395507812
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  3.9619140625
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.09887695312
add , b3 , commit :  false , status : 0 , QTime : 3 , None , FileProcessing :  4.5439453125
add , b3 , commit :  false , status : 0 , QTime : 3 , None , FileProcessing :  4.89086914062
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.27734375
add , b3 , commit :  false , status : 0 , QTime : 2 , None , FileProcessing :  4.36010742188
